ssgrp_nom,Food name,Calcium Ca,Cuivre Cu,Fer Fe,Iode I,Manganèse Mn,Phosphore P,Potassium K,Sélénium Se,Sodium Na,Zinc Zn,Vitamine E,Vitamine C ,Vitamine B6 ,Vitamine B9 ,Vitamine B12 
plats composés,"Poêlée de légumes assaisonnés à l'asiatiques ou wok de légumes, surgelée, crue",-,-,-,-,-,-,-,-,73,-,-,-,-,-,-
plats composés,"Poêlée de légumes assaisonnés grillée, méridionale ou méditerranéenne, surgelée, crue",-,-,-,-,-,-,-,-,167,-,-,-,-,-,-
plats composés,"Poêlée de légumes assaisonnés aux champignons (""champêtre""), surgelée",-,-,-,-,-,-,-,-,134,-,-,-,-,-,-
plats composés,"Ratatouille cuisinée, préemballée","16,4","0,074","0,38",3,"0,13",22,295,< 10,369,"0,17","1,56","25,2","0,04",18,-
plats composés,"Épinards à la crème, préemballés",-,-,-,-,-,-,-,-,287,-,-,-,-,-,-
plats composés,"Gratin d'aubergine, préemballé",-,-,-,-,-,-,-,-,172,-,-,-,-,-,-
plats composés,Gratin dauphinois,"38,6","0,044","0,32","8,2","0,079",95,219,"< 2,2",325,"0,29","0,24","3,1","0,04",7,0
plats composés,Endive au jambon,"77,2","< 0,1","0,38","8,11","< 0,1",146,104,"3,13",259,"0,6","0,23","3,72","0,11","14,3","0,3"
plats composés,"Gratin de chou-fleur, préemballé","96,6","0,12","0,27",-,"< 0,1",-,147,-,420,"2,3",-,-,-,-,-
plats composés,Gratin de légumes,"83,1","0,087","0,51","4,03","0,13","65,5",175,"1,8",228,"0,49","1,84","12,6","0,11",41,"0,12"
plats composés,"Riste d'aubergines (aubergines, tomates, oignons), préemballée",-,-,-,-,-,-,-,-,470,-,-,-,-,-,-
plats composés,"Palet ou galette de légumes, préfrit, surgelé",-,-,-,-,-,-,-,-,351,-,-,-,-,-,-
plats composés,"Palet ou galette de légumes, préfrit, surgelé, cuit",40,"0,06","0,52",< 20,"0,15",58,250,< 20,301,"0,36","2,63","1,23","0,088","33,8","0,18"
plats composés,"Choucroute, sans garniture, égouttée, cuite",43,"0,05","0,3",< 20,"0,09",15,83,< 20,505,"0,15","0,4","17,2","0,055","19,1","0,028"
plats composés,"Tomate à la provençale, fait maison",23,"0,068","0,67","2,37","0,18",33,247,"0,93",188,"0,22","1,64","21,5","0,11","22,2",0
plats composés,Beignet de légumes,"52,4","0,078","0,72","6,62","0,18","68,1",209,"2,55",275,"0,4","2,86","13,2","0,12",43,"0,14"
plats composés,"Falafel ou Boulette de pois-chiche et/ou fève, frite",57,"0,3","2,1",< 20,"0,93",180,390,< 20,640,"1,3","6,9","< 0,5","0,17",105,0
plats composés,"Gratin de légumes en sauce blanche type béchamel, cuit",84,"0,03","0,31",< 20,"0,09",88,190,< 20,255,"0,44","0,81","1,94","0,052","24,4","0,33"
plats composés,"Falafel ou Boulette de pois-chiche et/ou fève, préemballé",57,"0,24","1,6",< 20,"0,77",99,340,< 20,347,1,"4,04","< 0,5","0,082","57,3",-
plats composés,"Blé dur précuit cuisiné, en sachet micro-ondable",-,-,-,-,-,-,-,-,463,-,"8,99",-,"0,12",118,0
plats composés,"Blé dur précuit, grains entiers, cuisiné, à poêler",-,-,-,-,-,-,-,-,603,-,-,-,-,-,-
plats composés,"Ravioli à la viande, sauce tomate, appertisé","25,3","0,074","1,09","5,5","0,24","60,9",169,"< 2,2",382,"0,49","0,32","1,22","0,15",3,traces
plats composés,Lasagnes ou cannelloni à la viande (bolognaise),"44,8","0,12","0,71","8,67","0,21","82,9",194,< 10,385,"0,78","0,91","2,57","0,12","7,49","0,45"
plats composés,"Pâtes à la bolognaise (spaghetti, tagliatelles…)",14,"0,08","0,79",5,"0,15","58,3",176,"1,1",329,"0,9","1,31","4,22","0,14","9,05","0,32"
plats composés,Riz cantonais,"16,7","< 0,1","0,4",2,"0,1","60,6",78,"1,18",361,"0,5","0,91","0,97","0,085",33,"0,14"
plats composés,"Ravioli chinois à la vapeur à la crevette, cuit",31,"0,04","0,57",< 20,"0,045",65,56,< 20,383,"0,31","0,97","< 0,5","0,038","24,5","0,65"
plats composés,Gratin de pâtes,116,"0,05","0,4","5,4","0,1",137,124,"4,9",340,"0,88","0,34","1,1","0,06",6,"0,39"
plats composés,"Lasagnes ou cannellonis aux légumes, préemballées, cuits",-,-,-,-,-,-,-,-,222,-,-,-,-,-,-
plats composés,"Pâtes à la carbonara (spaghetti, tagliatelles…)","36,1","0,08","0,45",8,"0,15","86,2","87,1",1,347,1,"1,19","0,82","0,06","7,29","0,11"
plats composés,"Lasagnes ou cannellonis au poisson, préemballées",63,-,"0,41",-,-,-,-,-,403,-,-,-,-,-,-
plats composés,"Pâtes fraîches farcies (ex : raviolis, tortellinis, ravioles du Dauphiné), au fromage, cuites","72,3","0,3","0,48","5,2","0,2","88,5","47,9",13,317,"0,7","0,1","0,2","0,04","7,47","0,18"
plats composés,"Couscous de légumes, préemballé",-,-,-,-,-,-,-,-,274,-,-,-,-,-,-
