ssgrp_nom,Food name,Calcium Ca,Cuivre Cu,Fer Fe,Iode I,Manganèse Mn,Phosphore P,Potassium K,Sélénium Se,Sodium Na,Zinc Zn,Vitamine E,Vitamine C ,Vitamine B6 ,Vitamine B9 ,Vitamine B12 
fruits,"Coing, cru",11,"0,13","0,7","0,4",-,17,197,-,4,"0,04","0,55",15,"0,04",3,0
fruits,"Figue, crue",57,"0,08","0,27",< 20,"0,06",21,230,< 20,5,"0,16","< 0,08","< 0,5","0,059","24,5",0
fruits,"Fraise, crue",18,"0,02","0,19",< 20,"0,26",23,140,< 20,< 5,"0,11","0,3",54,"0,04","98,9",0
fruits,"Framboise, crue",16,"0,04","0,4",< 20,"0,44",29,170,< 20,< 5,"0,24","0,88","18,7","0,032","38,1",0
fruits,"Fruit de la passion ou maracudja, pulpe et pépins, cru","8,1","0,15","0,56",< 20,"0,19",46,240,< 20,< 5,"0,76","0,5","25,6","0,17",101,0
fruits,"Grenade, pulpe et pépins, crue","9,5","0,11","0,17",< 20,"0,1",27,230,< 20,< 5,"0,22","< 0,08","9,02","0,032","8,77",0
fruits,"Groseille, crue",38,"0,09","0,35",< 20,"0,13",38,230,< 20,< 5,"0,15","1,19","29,8","0,03","11,8",0
fruits,"Groseille à maquereau, crue","25,4","0,063","0,33","0,3","0,16","26,2",187,"0,068","1,5","0,14","0,69",29,"0,048","8,85",0
fruits,"Kiwi, pulpe et graines, cru",29,"0,15","0,16",< 20,"0,05",26,290,< 20,< 5,"0,12","0,96","81,9","0,036","22,2",0
fruits,"Litchi, pulpe, cru","3,6","0,2","0,26",< 20,"0,1",27,200,< 20,< 5,"0,23","< 0,08","19,2","0,12","28,3",0
fruits,"Clémentine ou Mandarine, pulpe, crue",23,"0,04","0,09",< 20,"0,02",18,140,< 20,< 5,"0,1","0,21","49,2","0,079","27,6",0
fruits,"Mangue, pulpe, crue",12,"0,07","0,09",< 20,"0,07",12,150,< 20,< 5,"0,11","2,05",25,"0,1","70,2",0
fruits,"Melon cantaloup (par ex.: Charentais, de Cavaillon) pulpe, cru",11,"0,06","0,21",< 20,"0,04",17,380,< 20,24,"0,18","< 0,08","8,14","0,055","58,9",0
fruits,"Mirabelle, crue",11,"0,08","0,13",< 20,"0,07",21,240,< 20,< 5,"0,11","1,52","5,29","0,074","12,5",-
fruits,"Myrtille, crue",6,"0,057","0,28","0,5","0,34",12,77,traces,1,"0,16","0,57","9,7","0,052",6,0
fruits,"Mûre (de ronce), crue",31,"0,07","0,4",< 20,"1,1",25,200,< 20,< 5,"0,18","1,28","10,1","0,015",17,0
fruits,"Nectarine ou brugnon, pulpe et peau, crue","3,38","0,078","0,28","0,3","0,061","26,7",201,"< 2,2","1,09","0,091","0,77","5,4","0,025",5,0
fruits,"Orange, pulpe, crue",66,"0,04","0,57",< 20,"0,02",38,180,< 20,< 5,"0,25","0,19","47,5","< 0,01","25,9",0
fruits,"Papaye, pulpe, crue",22,"< 0,01","0,16",< 20,"0,04","8,7",200,< 20,< 5,"< 0,05","< 0,08","65,3","0,02","55,3",0
fruits,"Pastèque, pulpe, crue",6,"0,03","0,16",< 20,"0,02","9,7",100,< 20,< 5,"0,09","< 0,08","4,26","0,064","36,9",0
fruits,"Poire, pulpe et peau, crue","6,46","0,071","0,072","0,4","0,03","15,4",132,< 10,"1,8","0,097","0,41","4,62","0,022","11,5",0
fruits,"Pomme, pulpe et peau, crue","5,34","0,041","0,099","0,2","0,036","14,4",119,< 10,"1,5","0,031","0,37","6,25","0,048",6,0
fruits,"Pomelo (dit Pamplemousse), pulpe, cru",14,"0,02","0,06",< 20,"0,02",17,140,< 20,< 5,"0,07","< 0,08","42,4","0,36","52,9",0
fruits,"Prune Reine-Claude, crue",13,"0,1","0,16",< 20,"0,08",20,250,< 20,< 5,"0,12","1,2","4,16","0,049","18,4",0
fruits,"Pêche, pulpe et peau, crue","7,32","0,075","0,15","0,3","0,064",21,215,"0,16","< 1,11","0,12","1,27","6,6","0,028","4,1",0
fruits,"Raisin blanc, à gros grain (type Italia ou Dattier), cru",12,"0,19","0,2",< 20,"0,08",16,200,< 20,< 5,"< 0,05","0,31","1,07","0,043","16,3",0
fruits,"Raisin noir, cru","8,98","0,078","0,2","0,4","0,051","21,8",152,"< 2,97","< 0,39","0,038","0,4","10,8","0,04",5,0
fruits,"Rhubarbe, tige, crue",129,"0,039","0,28","0,3","0,16","18,6",239,"0,37",3,"0,17","0,31","9,7","0,032","7,25",0
fruits,"Pomme, pulpe, crue",5,"0,031","0,07","0,1","0,038",11,90,"0,15",0,"0,05","0,05",4,"0,037",0,0
fruits,"Carambole, pulpe, crue",3,"0,14","0,08","0,4","0,037",12,133,-,2,"0,12","0,15","34,4","0,017",12,0
fruits,"Anone ou chérimole, pulpe, crue",9,"0,069","0,29","0,4","0,093",26,287,-,7,"0,16","0,27","12,1","0,26",23,0
fruits,"Feijoa, pulpe, crue",17,"0,036","0,14",-,"0,084",19,172,-,3,"0,06","0,16","32,9","0,067",23,0
fruits,"Figue de Barbarie, pulpe et graines, crue",118,"0,019","0,25","1,5","0,58","17,5",175,-,"4,5","0,14","0,01","12,5","0,079",8,0
fruits,"Kaki, pulpe, cru","6,9","0,03","0,06",< 20,"0,13",13,160,< 20,< 5,"< 0,05","0,12","3,41","< 0,01","22,1",0
fruits,"Citron vert ou Lime, pulpe, cru",57,"0,08","0,2",< 20,"0,09",24,190,< 20,6,"0,15","0,45","29,3","0,018","36,5",0
fruits,"Mûre noire (du mûrier), crue",39,"0,06","1,85","0,4","1,1",38,194,-,10,"0,12","0,87","36,4","0,05",6,0
fruits,"Ramboutan, pulpe, crue",22,"0,066","0,35",-,"0,34",9,42,-,11,"0,08",-,"4,9","0,02",8,0
fruits,"Tamarin, fruit mûr, pulpe, cru",74,"0,086","2,8",-,-,113,628,-,28,"0,1","0,1","3,5","0,066",14,0
fruits,"Goyave, pulpe, crue",14,"0,23","0,26","0,71","0,15",40,308,"0,5",2,"0,21","0,73",228,"0,094",49,0
fruits,"Pomme Canada, pulpe, crue","3,59","0,035","0,14","1,12","0,03","8,61",154,"0,045","3,69","0,09","0,27",4,"0,06",1,0
fruits,"Pomme Golden, pulpe, crue","2,8","0,03","0,06",< 20,"0,03","8,8",110,< 20,< 5,"< 0,05","< 0,08","1,29","0,052","8,93",-
fruits,"Prune, crue","7,29","0,06","0,16","0,4","0,076","17,8",149,"0,11",3,"0,096","0,33","7,25","0,037",4,0
fruits,"Raisin Chasselas, cru",16,"0,08","0,14",< 20,"0,07",21,150,< 20,< 5,"0,07","0,35","4,14","0,054","8,34",-
fruits,"Poire, pulpe, crue",11,"0,06","0,2",1,0,13,150,1,3,"0,1",-,6,"0,02",2,0
fruits,"Griotte, crue",16,"0,1","0,32",-,"0,11",15,173,-,3,"0,1","0,07",10,"0,044",8,0
fruits,"Raisin, cru",10,"0,13","0,36","0,75","0,071",20,191,"0,8",2,"0,07","0,19","3,2","0,086",2,0
fruits,"Canneberge ou cranberry, crue",11,"0,061","0,44","0,15","0,36","13,5","98,8",0,8,"0,1","1,2","13,7","0,057",1,0
fruits,"Pomme Granny Smith, pulpe, crue","3,2","0,03","0,08",< 20,"0,02","7,6",110,< 20,< 5,"< 0,05","< 0,08","2,21","0,029","7,16",-
fruits,"Pomme Granny Smith, pulpe et peau, crue","3,2","0,04","0,06",< 20,"0,02","7,6",110,< 20,< 5,"< 0,05","< 0,08","2,31","0,03","5,76",-
fruits,"Citron, zeste, cru",134,"0,092","0,9",-,-,12,160,7,6,"0,25","0,25",129,"0,17",13,0
fruits,"Sureau, baie, crue","42,7","0,062","1,25","2,5",-,"47,4",301,"0,6",7,"0,16",1,"32,5","0,21",9,0
fruits,"Myrtille, surgelée, crue",10,"0,035","0,39",-,"0,18",10,"55,5",-,1,"0,068","0,5","8,08","0,059",7,0
fruits,"Salade de fruits, crue","14,5","0,071","0,29","1,18","0,34","16,7",203,"4,9","0,81","0,094","0,37",20,"0,17","20,2",0
fruits,"Framboise, surgelée, crue","29,9","0,11","0,78","0,4","1,2",38,228,"0,19","2,17","0,34","1,4","24,5","0,09",44,0
fruits,"Nectarine ou brugnon, jaune, pulpe et peau, crue","4,8","0,06","0,13",< 20,"0,05",19,220,< 20,< 5,"0,11","< 0,08","3,38","< 0,01","8,4",-
fruits,"Nectarine ou brugnon, blanche, pulpe et peau, crue",5,"0,07","0,13",< 20,"0,06",18,210,< 20,< 5,"0,1","1,04","3,01","< 0,01","11,9",-
fruits,"Mûre (de ronce), surgelée, crue",29,"0,12","0,8",-,"1,22",30,140,-,1,"0,25","1,17","3,1","0,061",34,0
fruits,"Pomelo (dit Pamplemousse) jaune, pulpe, cru",12,"0,05","0,06",-,"0,013",8,148,-,0,"0,07","0,13","33,3","0,043",10,0
fruits,"Pomelo (dit Pamplemousse) rose, pulpe, cru",22,"0,032","0,08",-,"0,022",18,135,-,0,"0,07","0,13","31,2","0,053",13,0
fruits,"Poire Conférence, pulpe, crue","3,9","0,05","0,09",< 20,"0,02","9,3",99,< 20,< 5,"0,07","< 0,08","1,39","< 0,01","12,6",-
fruits,"Poire Williams, pulpe, crue","6,1","0,05","0,07",< 20,"0,02","9,8",120,< 20,< 5,"0,09","< 0,08","2,57","< 0,01","18,4",-
fruits,"Pomme Chantecler, pulpe, crue",4,"0,04","0,06",< 20,"0,03",10,120,< 20,< 5,"0,05","< 0,08","2,85","0,039",< 5,-
fruits,"Pomme Gala, pulpe, crue","3,6","0,03","0,06",< 20,"0,02","7,8",91,< 20,< 5,"< 0,05","< 0,08","1,33","0,035","6,98",-
fruits,"Pomme Pink lady, pulpe, crue","2,8","0,03","0,07",< 20,"0,02","7,5",110,< 20,< 5,"< 0,05","< 0,08","2,13","0,058",< 5,-
fruits,"Pêche blanche, pulpe et peau, crue","4,1","0,06","0,11",< 20,"0,05",18,180,< 20,< 5,"0,11","0,19","3,85","< 0,01","7,92",-
fruits,"Pêche blanche, pulpe, crue","3,9","0,06","0,12",< 20,"0,05",18,170,< 20,< 5,"0,1","0,28","4,09","< 0,01","10,5",-
fruits,"Pêche jaune, pulpe, crue","4,2","0,06","0,11",< 20,"0,04",17,190,< 20,< 5,"0,09","0,5","3,43","0,015",12,-
fruits,"Dourian, pulpe, cru",6,"0,21","0,43",-,"0,33",39,436,-,2,"0,28",-,"19,7","0,32",36,0
fruits,"Kumquat, sans pépin, cru","65,5","0,095","0,67",-,"0,14",19,158,0,8,"0,13","0,15",45,"0,036",17,0
fruits,"Longan, pulpe, cru",1,"0,17","0,13",-,"0,052",21,266,-,0,"0,05",-,84,-,50,0
fruits,"Pamplemousse chinois, pulpe, cru",4,"0,048","0,11",-,"0,017",17,216,-,1,"0,08",-,61,"0,036",-,0
fruits,"Pomme Golden, pulpe et peau, crue",4,"0,04","0,07",< 20,"0,03",10,130,< 20,< 5,"0,07","< 0,08","< 0,5","0,046",< 5,-
fruits,"Raisin noir Muscat, cru",13,"0,12","0,22",< 20,"0,09",20,210,< 20,< 5,"0,06","0,99","3,11","0,034",11,-
fruits,"Melon miel ou melon honeydew, pulpe, cru",6,"0,033","0,34",0,"0,034","15,8",237,0,"24,1","0,086","0,035","16,8","0,072",17,0
fruits,"Fruits rouges, crus (framboises, fraises, groseilles, cassis)",40,"0,088",1,"1,15","0,42","32,6",225,"0,35",3,"0,22","0,67",87,"0,064","37,6",0
fruits,Fruit cru (aliment moyen),"14,5","0,059","0,18","6,83","0,12","20,1",197,"7,53","3,45","0,11","0,29","20,9","0,065",22,0
fruits,Compote de pomme,"4,44","0,043","0,11","0,2","0,027",6,104,< 10,traces,"0,025","0,18","14,5","0,027",1,0
fruits,"Rhubarbe, tige, cuite, sucrée",145,"0,027","0,21","0,3","0,073",8,96,-,1,"0,08","0,19","3,3","0,02",5,0
fruits,"Compote, tout type de fruits",18,"0,05","0,13","0,1","0,04",13,150,< 20,< 5,"0,07","0,87",42,"0,025","13,6",0
